French,English
partie,part
histoire,history
seulement,only
police,police
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
voici,here is
pourrais,could
affaire,case
donner,give
type,type
train,train
corps,body
endroit,place
écoute,listen
trouve,find
perdu,lost
main,hand
vieux,old
sois,be
enfant,child
point,point
venu,came
pardon,sorry
minutes,minutes
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
gros,large
jouer,to play
